crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
maize,NL11,20010101,-0.585,4.631,8.818,492611.625,2.462,0.346,1.921,8.472
maize,NL12,20010101,-0.239,5.608,8.855,587204.875,3.331,0.343,2.071,8.512
maize,NL13,20010101,-0.554,4.598,7.99,558385.5,2.581,0.321,1.836,7.669
maize,NL21,20010101,-0.389,5.271,8.409,541453.312,3.127,0.329,2.026,8.08
maize,NL22,20010101,0.144,5.944,9.549,620747.25,3.764,0.302,2.125,9.247
maize,NL23,20010101,0.261,6.111,9.707,646764.0,4.022,0.307,2.068,9.4
maize,NL31,20010101,0.784,6.425,10.137,744348.438,4.277,0.219,2.064,9.918
maize,NL32,20010101,1.167,7.137,9.785,694023.562,4.976,0.329,2.279,9.456
maize,NL33,20010101,1.178,7.095,10.216,861468.375,4.888,0.192,2.191,10.024
maize,NL34,20010101,1.545,7.849,10.75,1170398.25,5.654,0.163,2.355,10.587
maize,NL41,20010101,1.04,7.083,10.401,794988.312,4.696,0.231,2.389,10.17
maize,NL42,20010101,1.024,7.125,9.507,785224.812,4.586,0.267,2.613,9.24
maize,NL11,20010102,3.354,9.01,1.218,2251510.25,6.829,0.362,2.874,0.856
maize,NL12,20010102,4.154,9.376,1.501,2211190.25,7.408,0.454,2.864,1.047
maize,NL13,20010102,3.599,9.246,1.204,2306738.0,7.23,0.378,2.919,0.826
maize,NL21,20010102,4.308,10.018,1.195,2400590.75,7.904,0.509,3.358,0.686
maize,NL22,20010102,4.884,10.487,1.11,2609420.25,8.351,0.573,3.539,0.537
maize,NL23,20010102,5.033,10.091,1.365,2408697.75,8.2,0.534,3.143,0.831
maize,NL31,20010102,5.311,10.394,1.317,2605023.75,8.466,0.546,3.242,0.771
maize,NL32,20010102,5.493,9.829,1.273,2356155.5,8.133,0.573,2.847,0.7
maize,NL33,20010102,5.622,10.528,0.894,2623328.75,8.586,0.64,3.305,0.254
maize,NL34,20010102,6.42,10.829,0.915,2704854.25,8.972,0.822,3.516,0.093
maize,NL41,20010102,6.003,10.97,1.186,2820618.0,8.99,0.68,3.713,0.506
maize,NL42,20010102,6.135,11.073,0.869,3232287.0,9.019,0.715,4.027,0.154
maize,NL11,20010103,2.546,8.691,1.709,2536406.25,5.415,0.77,3.394,0.939
maize,NL12,20010103,3.479,9.009,1.709,2797117.5,5.848,0.805,3.58,0.904
maize,NL13,20010103,2.825,8.771,2.244,2571932.0,5.561,0.758,3.38,1.486
maize,NL21,20010103,3.314,8.999,2.589,2593684.75,5.843,0.79,3.456,1.799
maize,NL22,20010103,3.72,9.049,3.462,2882222.25,6.095,0.732,3.386,2.73
maize,NL23,20010103,4.107,9.152,2.875,3023501.25,6.223,0.722,3.468,2.153
maize,NL31,20010103,4.16,9.086,3.736,3295839.5,6.3,0.634,3.33,3.102
maize,NL32,20010103,4.617,8.971,2.693,3264467.25,6.401,0.83,3.488,1.863
maize,NL33,20010103,4.486,9.181,4.72,3466149.25,6.571,0.702,3.4,4.018
maize,NL34,20010103,5.363,9.209,5.328,3595337.0,7.009,0.681,3.223,4.647
maize,NL41,20010103,4.442,9.319,4.112,3213738.75,6.601,0.703,3.505,3.409
maize,NL42,20010103,4.189,9.246,3.819,3236757.75,6.444,0.742,3.618,3.077
maize,NL11,20010104,3.586,8.328,6.861,558316.688,6.691,0.377,2.392,6.484
maize,NL12,20010104,4.32,8.564,7.527,577200.5,7.117,0.416,2.215,7.111
maize,NL13,20010104,3.978,8.311,6.308,500675.875,6.95,0.381,2.223,5.927
maize,NL21,20010104,4.357,8.455,7.201,526106.312,7.159,0.456,2.283,6.745
maize,NL22,20010104,4.845,8.695,7.159,592835.312,7.4,0.495,2.351,6.664
maize,NL23,20010104,5.189,8.755,7.249,580004.0,7.551,0.464,2.187,6.785
maize,NL31,20010104,5.668,8.879,4.996,598083.25,7.616,0.457,2.207,4.539
maize,NL32,20010104,5.361,8.892,6.129,625687.875,7.699,0.468,2.097,5.661
maize,NL33,20010104,6.147,9.11,4.226,625062.125,7.739,0.489,2.263,3.737
maize,NL34,20010104,6.731,9.305,2.833,660254.562,7.886,0.68,2.398,2.153
maize,NL41,20010104,6.051,9.137,4.127,674013.688,7.697,0.611,2.588,3.516
maize,NL42,20010104,5.767,9.014,4.67,1051330.0,7.44,0.635,2.751,4.035
maize,NL11,20010105,5.137,9.429,12.969,321148.25,6.916,0.853,2.803,12.116
maize,NL12,20010105,5.535,9.34,13.294,390747.031,6.964,0.802,2.646,12.492
maize,NL13,20010105,5.423,9.502,13.948,295557.25,7.097,0.777,2.711,13.171
maize,NL21,20010105,5.673,9.593,15.48,278794.312,7.306,0.744,2.65,14.736
maize,NL22,20010105,5.795,9.678,17.315,314667.688,7.445,0.703,2.548,16.612
maize,NL23,20010105,6.054,9.693,16.291,409153.812,7.371,0.775,2.646,15.516
maize,NL31,20010105,5.894,9.658,17.162,394515.531,7.456,0.641,2.377,16.521
maize,NL32,20010105,5.962,9.221,13.835,561265.062,7.153,0.739,2.421,13.096
maize,NL33,20010105,6.087,9.891,17.42,589159.125,7.576,0.681,2.552,16.739
maize,NL34,20010105,6.403,10.243,17.473,706488.5,7.949,0.757,2.706,16.716
maize,NL41,20010105,6.057,10.013,18.041,340610.594,7.73,0.722,2.604,17.319
maize,NL42,20010105,5.841,10.009,17.877,344791.594,7.663,0.702,2.643,17.175
maize,NL11,20010106,3.854,7.096,0.681,2332525.25,5.401,0.545,2.125,0.136
maize,NL12,20010106,4.343,7.291,0.509,2420388.75,5.651,0.555,2.157,-0.046
maize,NL13,20010106,3.728,7.173,0.79,2525386.75,5.376,0.494,2.094,0.296
maize,NL21,20010106,3.656,7.312,1.262,2606324.25,5.501,0.473,2.067,0.789
maize,NL22,20010106,3.706,7.268,1.948,2477058.75,5.578,0.452,1.916,1.496
maize,NL23,20010106,4.409,7.461,0.693,2691409.0,5.715,0.51,2.174,0.183
maize,NL31,20010106,4.131,7.455,1.214,2908858.25,5.654,0.437,2.092,0.777
maize,NL32,20010106,4.548,7.564,0.482,2864227.5,6.172,0.527,2.281,-0.045
maize,NL33,20010106,4.548,7.626,1.241,3121792.0,5.954,0.483,2.232,0.758
maize,NL34,20010106,4.957,7.88,1.399,2953136.25,6.299,0.564,2.255,0.835
maize,NL41,20010106,4.105,7.533,2.629,2305722.25,5.817,0.487,1.924,2.142
maize,NL42,20010106,4.047,7.677,4.076,1884706.25,5.818,0.531,2.054,3.545
maize,NL11,20010107,2.972,6.682,0.236,1493626.0,5.027,0.488,1.933,-0.252
maize,NL12,20010107,3.555,6.674,0.518,1687116.5,5.127,0.48,1.753,0.038
maize,NL13,20010107,2.646,6.669,0.279,1447039.125,4.914,0.518,2.001,-0.239
maize,NL21,20010107,2.622,6.808,0.303,1668477.25,4.868,0.548,2.216,-0.245
maize,NL22,20010107,2.578,6.78,0.33,1807412.75,4.768,0.559,2.257,-0.229
maize,NL23,20010107,2.967,6.763,0.443,1597009.375,4.921,0.566,1.989,-0.123
maize,NL31,20010107,2.38,6.717,0.419,1722875.75,4.572,0.548,2.094,-0.129
maize,NL32,20010107,4.348,6.965,0.947,2251154.0,5.548,0.483,1.831,0.464
maize,NL33,20010107,2.867,6.965,0.672,2076294.375,4.806,0.517,2.144,0.155
maize,NL34,20010107,2.739,7.424,0.317,2471738.75,4.978,0.578,2.551,-0.261
maize,NL41,20010107,2.657,6.901,0.308,1992595.25,4.747,0.589,2.4,-0.281
maize,NL42,20010107,3.233,7.22,0.219,2615070.5,4.937,0.546,2.655,-0.327
maize,NL11,20010108,1.967,5.55,1.138,1778375.375,3.92,0.264,1.542,0.874
maize,NL12,20010108,2.664,6.103,2.241,1769686.875,4.586,0.301,1.673,1.94
maize,NL13,20010108,1.536,5.632,1.195,1883062.25,3.772,0.245,1.655,0.95
maize,NL21,20010108,1.2,5.768,0.633,2198664.25,3.731,0.231,1.794,0.402
maize,NL22,20010108,0.965,5.752,0.582,2538192.5,3.677,0.185,1.789,0.397
maize,NL23,20010108,1.885,6.182,1.072,2045761.375,4.282,0.266,1.847,0.806
maize,NL31,20010108,1.22,5.983,0.725,2460692.75,3.966,0.17,1.775,0.555
maize,NL32,20010108,3.721,6.612,1.446,2144666.25,5.437,0.394,1.854,1.052
maize,NL33,20010108,1.905,6.392,0.777,2458789.75,4.64,0.225,1.887,0.552
maize,NL34,20010108,1.965,6.499,0.302,2409926.5,4.789,0.278,1.981,0.024
maize,NL41,20010108,0.951,5.841,0.439,2841713.25,3.82,0.159,1.808,0.28
maize,NL42,20010108,1.314,5.848,0.359,3186343.0,3.908,0.206,1.9,0.153
maize,NL11,20010109,1.005,6.271,0.859,2370734.0,3.585,0.363,2.173,0.496
maize,NL12,20010109,0.894,6.427,0.997,2680819.75,3.914,0.319,2.099,0.678
maize,NL13,20010109,0.233,6.14,0.415,2290690.75,3.308,0.389,2.176,0.026
maize,NL21,20010109,-0.134,5.995,0.091,2274882.25,3.203,0.381,2.137,-0.29
maize,NL22,20010109,0.374,5.781,0.039,2579631.5,3.215,0.298,1.987,-0.259
maize,NL23,20010109,0.481,6.35,0.197,2896680.25,3.71,0.298,2.104,-0.101
maize,NL31,20010109,0.63,5.885,0.021,2989186.5,3.373,0.228,1.913,-0.207
maize,NL32,20010109,1.736,6.578,0.752,3074712.75,4.459,0.292,2.081,0.46
maize,NL33,20010109,1.311,5.991,0.072,2895434.25,3.734,0.237,1.888,-0.165
maize,NL34,20010109,2.392,5.806,0.301,2556477.25,3.909,0.265,1.843,0.036
maize,NL41,20010109,1.448,5.481,0.066,2716908.25,3.373,0.23,1.737,-0.164
maize,NL42,20010109,0.759,5.57,0.169,2719273.0,3.274,0.303,1.854,-0.134
maize,NL11,20010110,-0.442,3.256,0.08,1428998.0,1.699,0.183,1.169,-0.103
maize,NL12,20010110,-0.038,3.534,0.12,1549664.625,2.021,0.186,1.168,-0.066
maize,NL13,20010110,-1.134,3.296,0.096,1428086.75,1.787,0.143,1.193,-0.047
maize,NL21,20010110,-0.868,3.518,0.174,1725385.75,1.92,0.18,1.348,-0.006
maize,NL22,20010110,0.225,3.616,0.69,1919216.875,2.174,0.266,1.387,0.424
maize,NL23,20010110,0.61,3.922,0.146,1857807.625,2.501,0.242,1.349,-0.096
maize,NL31,20010110,1.067,3.968,0.645,1971826.375,2.602,0.292,1.436,0.353
maize,NL32,20010110,1.472,4.244,0.12,1936160.5,2.976,0.327,1.381,-0.207
maize,NL33,20010110,1.48,4.1,1.149,1865912.875,2.808,0.361,1.44,0.788
maize,NL34,20010110,1.719,3.749,4.942,1387230.75,2.849,0.425,1.163,4.517
maize,NL41,20010110,0.716,3.53,3.218,1642007.75,2.23,0.286,1.186,2.932
maize,NL42,20010110,0.056,3.748,4.805,1719960.875,2.044,0.244,1.316,4.561
maize,NL11,20010111,-2.434,3.276,0.001,3748787.0,-0.054,0.206,2.587,-0.205
maize,NL12,20010111,-1.769,3.47,0.012,3810972.5,0.507,0.304,2.639,-0.292
maize,NL13,20010111,-3.175,2.997,0.007,3845743.5,-0.613,0.335,2.658,-0.328
maize,NL21,20010111,-3.205,2.978,0.001,3782029.5,-0.401,0.505,2.678,-0.504
maize,NL22,20010111,-2.996,3.179,0.102,3334270.5,0.174,0.702,2.625,-0.6
maize,NL23,20010111,-2.152,3.264,0.006,3787603.75,0.397,0.557,2.616,-0.551
maize,NL31,20010111,-2.093,3.372,0.151,3322826.75,0.581,0.809,2.692,-0.658
maize,NL32,20010111,-0.646,3.718,0.004,3883122.75,1.461,0.555,2.611,-0.551
maize,NL33,20010111,-1.404,3.519,0.471,3085129.0,0.997,0.902,2.694,-0.431
maize,NL34,20010111,-0.202,3.814,1.866,1755067.0,2.077,0.96,2.211,0.906
maize,NL41,20010111,-1.253,3.735,1.417,2071777.25,1.354,0.845,2.393,0.572
maize,NL42,20010111,-1.254,4.261,1.915,1874539.375,1.629,0.705,2.275,1.21
maize,NL11,20010112,-2.454,4.797,0.128,2792075.75,0.686,0.194,2.537,-0.066
maize,NL12,20010112,-2.118,5.205,0.103,2608917.75,1.061,0.286,2.681,-0.183
maize,NL13,20010112,-3.067,4.661,0.086,2664000.0,0.117,0.195,2.713,-0.109
maize,NL21,20010112,-3.936,4.576,0.033,2610637.5,-0.204,0.24,2.861,-0.207
maize,NL22,20010112,-3.675,4.575,0.019,2548557.0,-0.14,0.327,2.988,-0.308
maize,NL23,20010112,-2.409,5.016,0.061,2578708.75,0.779,0.29,2.776,-0.229
maize,NL31,20010112,-2.871,4.805,0.02,2529815.5,0.289,0.362,2.97,-0.342
maize,NL32,20010112,-0.923,5.769,0.054,2835226.5,2.459,0.302,2.565,-0.248
maize,NL33,20010112,-2.164,5.01,0.02,2814321.75,0.851,0.404,2.975,-0.384
maize,NL34,20010112,-1.067,5.065,0.005,3726243.5,1.543,0.636,3.211,-0.631
maize,NL41,20010112,-2.46,4.492,0.006,2705495.75,0.306,0.483,3.035,-0.477
maize,NL42,20010112,-2.498,4.25,0.0,3091993.5,0.087,0.502,3.09,-0.502
maize,NL11,20010113,-4.138,-0.796,0.059,1892035.625,-2.633,0.152,0.903,-0.093
maize,NL12,20010113,-3.855,-0.389,0.041,2253329.75,-2.384,0.146,0.985,-0.105
maize,NL13,20010113,-4.213,-0.509,0.033,2403049.0,-2.793,0.214,1.204,-0.181
maize,NL21,20010113,-4.263,0.72,0.005,3291259.75,-2.463,0.257,1.736,-0.252
maize,NL22,20010113,-3.512,1.818,0.001,3904494.75,-1.713,0.351,2.2,-0.35
maize,NL23,20010113,-3.579,1.054,0.021,3263995.25,-1.841,0.249,1.64,-0.228
maize,NL31,20010113,-3.12,2.156,0.002,4047663.75,-1.348,0.369,2.25,-0.367
maize,NL32,20010113,-2.154,1.32,0.01,3232552.5,-0.721,0.17,1.241,-0.16
