crop_name,adm_id,date,tmin,tmax,prec,rad,tavg,et0,vpd,cwb
wheat,NL11,20010101,-0.442,4.834,9.357,470243.094,2.631,0.375,2.004,8.982
wheat,NL12,20010101,0.377,6.859,8.401,606776.25,4.383,0.417,2.437,7.984
wheat,NL13,20010101,-0.628,4.536,7.754,532738.875,2.486,0.335,1.872,7.419
wheat,NL21,20010101,-0.414,5.183,8.375,543312.562,3.062,0.324,1.983,8.051
wheat,NL22,20010101,0.38,6.151,10.117,646112.5,4.006,0.285,2.117,9.832
wheat,NL23,20010101,0.212,6.172,9.777,626410.75,4.058,0.32,2.1,9.457
wheat,NL31,20010101,0.727,6.393,10.173,731949.938,4.245,0.228,2.073,9.945
wheat,NL32,20010101,1.033,7.555,9.945,706405.812,5.165,0.344,2.482,9.601
wheat,NL33,20010101,1.333,7.332,10.423,899123.812,5.113,0.172,2.239,10.251
wheat,NL34,20010101,1.603,7.866,10.771,1179133.625,5.707,0.167,2.347,10.604
wheat,NL41,20010101,1.221,7.232,10.698,882462.875,4.893,0.189,2.322,10.509
wheat,NL42,20010101,1.12,7.243,8.917,848675.125,4.583,0.266,2.776,8.651
wheat,NL11,20010102,3.416,8.991,1.254,2234479.75,6.76,0.385,2.893,0.869
wheat,NL12,20010102,4.998,9.46,1.612,2145715.5,7.588,0.576,2.833,1.036
wheat,NL13,20010102,3.54,9.21,1.152,2310710.5,7.155,0.382,2.949,0.77
wheat,NL21,20010102,4.208,9.891,1.199,2376939.0,7.821,0.481,3.261,0.718
wheat,NL22,20010102,5.106,10.535,1.264,2640373.0,8.462,0.57,3.484,0.694
wheat,NL23,20010102,5.051,10.128,1.383,2385944.75,8.203,0.55,3.179,0.833
wheat,NL31,20010102,5.309,10.443,1.416,2609622.5,8.483,0.551,3.289,0.865
wheat,NL32,20010102,5.535,10.122,1.322,2355369.25,8.224,0.626,3.083,0.696
wheat,NL33,20010102,5.827,10.656,0.747,2635511.25,8.732,0.687,3.374,0.06
wheat,NL34,20010102,6.434,10.79,0.928,2698796.0,8.944,0.823,3.484,0.105
wheat,NL41,20010102,5.969,10.88,0.933,2708624.75,8.921,0.707,3.589,0.226
wheat,NL42,20010102,6.355,10.994,0.636,3381493.5,9.012,0.753,4.045,-0.117
wheat,NL11,20010103,2.605,8.655,1.67,2538610.75,5.418,0.778,3.378,0.892
wheat,NL12,20010103,4.078,9.084,1.215,2869773.75,6.156,0.947,3.663,0.268
wheat,NL13,20010103,2.68,8.763,2.132,2509842.0,5.524,0.788,3.392,1.344
wheat,NL21,20010103,3.29,8.977,2.609,2612527.75,5.821,0.774,3.443,1.835
wheat,NL22,20010103,3.912,9.049,3.592,2993577.5,6.2,0.696,3.331,2.896
wheat,NL23,20010103,4.137,9.205,2.824,2996460.0,6.238,0.737,3.503,2.087
wheat,NL31,20010103,4.142,9.104,3.716,3265968.75,6.293,0.631,3.338,3.085
wheat,NL32,20010103,4.59,9.179,2.84,3281985.0,6.465,0.856,3.656,1.984
wheat,NL33,20010103,4.665,9.242,5.315,3482647.25,6.73,0.714,3.393,4.601
wheat,NL34,20010103,5.393,9.17,5.431,3598179.75,7.018,0.684,3.192,4.747
wheat,NL41,20010103,4.634,9.362,4.724,3348465.0,6.687,0.684,3.46,4.04
wheat,NL42,20010103,4.166,9.111,3.816,3322016.25,6.342,0.769,3.618,3.047
wheat,NL11,20010104,3.507,8.333,7.214,600129.125,6.601,0.396,2.462,6.818
wheat,NL12,20010104,4.457,8.636,8.686,715934.062,7.113,0.483,2.283,8.203
